;account_id; account issuance freq;# transactions;# credit in cash transactions;# credit card withdrawal transactions;# collection from another bank withdrawal transactions;# remittance to another bank withdrawal transactions;# withdrawal in cash transactions;# type = withdrawal transactions;# type = withdrawal in cash transactions;# type = credit transactions;avg transaction amount;avg balance;loan date;loan amount;loan duration;loan payments;status;district_name;district_region;no. of inhabitants;ratio of urban inhabitants ;average salary ;no. of enterpreneurs per 1000 inhabitants ;crimes;unemploymant;card_type;birthdate;sex;has_disponent;age at loan;new status
86;1928;monthly issuance;114.0;8.0;0.0;21.0;0.0;64.0;58.0;6.0;50.0;6040.26;29645.32;1998-12-06;55632;24;2318;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1948-12-18;M;False;18250.0;
87;8505;monthly issuance;45.0;11.0;0.0;0.0;0.0;18.0;18.0;;27.0;5868.54;35642.2;1997-12-10;42840;12;3570;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1937-11-11;M;False;21944.0;
88;938;monthly issuance;15.0;9.0;0.0;0.0;0.0;2.0;2.0;;13.0;3258.51;23066.61;1998-05-21;22260;60;371;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1940-11-26;F;False;20995.0;
89;6856;monthly issuance;148.0;26.0;0.0;0.0;51.0;51.0;101.0;1.0;46.0;6250.36;25654.38;1997-04-30;124344;36;3454;;Hradec Kralove;east Bohemia;161854;76.3;9425;125;3988.0;2.11;;1979-06-08;F;False;6536.0;
90;9052;issuance after transaction;133.0;27.0;0.0;0.0;0.0;73.0;71.0;2.0;60.0;10085.17;39870.41;1997-02-26;71976;24;2999;;Hradec Kralove;east Bohemia;161854;76.3;9425;125;3988.0;2.11;;1965-07-14;M;False;11550.0;
91;10365;monthly issuance;78.0;14.0;0.0;0.0;23.0;26.0;48.0;1.0;29.0;6935.73;31518.18;1997-01-04;260640;36;7240;;Domazlice;west Bohemia;58400;52.4;8620;100;1103.0;1.175;;1949-01-21;F;False;17515.0;
92;10134;monthly issuance;59.0;17.0;0.0;0.0;7.0;27.0;34.0;;25.0;15067.19;60593.84;1998-01-11;136368;24;5682;;Domazlice;west Bohemia;58400;52.4;8620;100;1103.0;1.175;;1969-07-04;M;False;10418.0;
93;7957;monthly issuance;175.0;44.0;0.0;0.0;36.0;74.0;108.0;2.0;65.0;11403.55;50590.53;1997-06-14;42900;12;3575;;Trutnov;east Bohemia;121947;70.5;8541;131;3667.5;2.74;;1964-09-21;M;True;11954.0;
94;7045;monthly issuance;21.0;1.0;0.0;6.0;0.0;9.0;9.0;;12.0;17591.31;54677.28;1997-06-16;288720;48;6015;;Trutnov;east Bohemia;121947;70.5;8541;131;3667.5;2.74;;1943-04-19;M;False;19782.0;
95;8320;monthly issuance;17.0;1.0;0.0;4.0;0.0;4.0;4.0;;13.0;12153.43;40151.71;1997-06-04;309660;60;5161;;Trutnov;east Bohemia;121947;70.5;8541;131;3667.5;2.74;;1958-09-27;F;True;14130.0;
96;2165;monthly issuance;14.0;2.0;0.0;5.0;0.0;3.0;3.0;;11.0;11047.05;42902.41;1997-08-22;78600;24;3275;;Trutnov;east Bohemia;121947;70.5;8541;131;3667.5;2.74;;1956-05-09;M;False;15080.0;
97;9227;monthly issuance;30.0;10.0;0.0;0.0;4.0;6.0;10.0;;20.0;2356.26;18241.44;1998-04-29;191580;60;3193;;Trutnov;east Bohemia;121947;70.5;8541;131;3667.5;2.74;;1966-01-11;F;False;11796.0;
98;11271;monthly issuance;111.0;7.0;0.0;16.0;36.0;37.0;73.0;;38.0;3749.47;26491.78;1997-01-31;67320;36;1870;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;;1972-01-26;M;False;9137.0;
99;4863;monthly issuance;81.0;2.0;1.0;12.0;16.0;39.0;51.0;5.0;25.0;11450.62;50621.1;1997-03-18;76080;12;6340;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;junior;1979-04-06;F;False;6556.0;
100;5837;monthly issuance;91.0;27.0;0.0;0.0;0.0;51.0;45.0;6.0;40.0;13451.67;54375.02;1997-09-14;177804;36;4939;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;;1971-07-07;F;False;9566.0;
101;6265;monthly issuance;69.0;21.0;0.0;0.0;6.0;36.0;36.0;6.0;27.0;16362.87;69963.48;1997-06-10;87360;24;3640;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;;1937-03-15;M;False;22002.0;
102;5164;monthly issuance;54.0;14.0;0.0;0.0;7.0;23.0;30.0;;24.0;2960.05;25150.98;1998-03-23;22356;36;621;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;;1940-04-04;M;False;21172.0;
103;2000;monthly issuance;84.0;14.0;0.0;0.0;23.0;36.0;59.0;;25.0;5449.59;44617.08;1998-07-14;290820;60;4847;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;;1937-10-28;M;False;22174.0;
104;4190;monthly issuance;176.0;39.0;0.0;0.0;56.0;59.0;115.0;;61.0;3669.82;34044.43;1997-08-28;405780;60;6763;;Uherske Hradiste;south Moravia;145688;40.7;8544;109;2812.5;1.5750000000000002;;1951-01-19;M;False;17023.0;
105;1498;weekly issuance;113.0;24.0;0.0;0.0;0.0;53.0;45.0;8.0;60.0;9700.01;45342.2;1998-10-07;165780;60;2763;;Uherske Hradiste;south Moravia;145688;40.7;8544;109;2812.5;1.5750000000000002;;1951-07-24;M;False;17242.0;
106;8919;monthly issuance;81.0;22.0;0.0;0.0;14.0;23.0;37.0;;44.0;2043.76;20237.19;1998-06-08;76104;24;3171;;Uherske Hradiste;south Moravia;145688;40.7;8544;109;2812.5;1.5750000000000002;;1961-10-03;F;True;13397.0;
107;4473;monthly issuance;89.0;16.0;0.0;0.0;19.0;40.0;59.0;;30.0;8051.74;54520.2;1997-01-03;93960;60;1566;;Jicin;east Bohemia;77917;53.5;8390;132;2101.0;2.585;;1962-06-01;M;False;12635.0;
108;5912;monthly issuance;113.0;4.0;0.0;20.0;15.0;55.0;67.0;3.0;43.0;7164.74;34785.53;1998-06-23;184620;60;3077;;Jicin;east Bohemia;77917;53.5;8390;132;2101.0;2.585;;1963-09-16;F;False;12699.0;
109;1083;monthly issuance;123.0;22.0;0.0;0.0;38.0;47.0;85.0;;38.0;3641.13;28050.3;1998-04-16;50976;36;1416;;Jicin;east Bohemia;77917;53.5;8390;132;2101.0;2.585;;1979-10-27;M;False;6746.0;
110;8114;monthly issuance;144.0;24.0;0.0;0.0;36.0;63.0;99.0;;45.0;6083.39;39110.67;1997-08-15;99300;60;1655;;Kromeriz;south Moravia;108871;62.1;8444;106;2450.0;3.3550000000000004;;1973-03-20;F;False;8914.0;
111;9353;monthly issuance;63.0;18.0;0.0;0.0;3.0;20.0;21.0;2.0;40.0;7799.71;45805.5;1997-06-08;188616;24;7859;;Kromeriz;south Moravia;108871;62.1;8444;106;2450.0;3.3550000000000004;;1938-11-09;M;True;21396.0;
112;7565;monthly issuance;111.0;2.0;0.0;17.0;25.0;51.0;75.0;1.0;35.0;6225.91;33651.1;1997-08-17;153504;48;3198;;Kromeriz;south Moravia;108871;62.1;8444;106;2450.0;3.3550000000000004;;1975-12-20;M;False;7911.0;
113;9513;monthly issuance;86.0;16.0;0.0;0.0;11.0;45.0;56.0;;30.0;7499.85;31402.28;1997-07-16;18324;12;1527;;Kromeriz;south Moravia;108871;62.1;8444;106;2450.0;3.3550000000000004;;1951-04-11;F;True;16898.0;
114;8268;monthly issuance;79.0;15.0;0.0;0.0;14.0;28.0;42.0;;37.0;3980.18;24946.64;1997-09-26;8616;24;359;;Kromeriz;south Moravia;108871;62.1;8444;106;2450.0;3.3550000000000004;;1975-10-27;M;False;8005.0;
115;9433;monthly issuance;67.0;15.0;0.0;0.0;0.0;39.0;39.0;;28.0;6769.95;41961.45;1998-10-05;44640;24;1860;;Kromeriz;south Moravia;108871;62.1;8444;106;2450.0;3.3550000000000004;;1957-02-11;M;False;15211.0;
116;2073;monthly issuance;67.0;15.0;0.0;0.0;0.0;39.0;39.0;;28.0;6752.09;41154.28;1998-10-05;44640;24;1860;;Kromeriz;south Moravia;108871;62.1;8444;106;2450.0;3.3550000000000004;;1957-02-11;M;False;15211.0;
117;319;weekly issuance;171.0;29.0;0.0;0.0;55.0;67.0;120.0;2.0;49.0;6055.03;48648.4;1997-07-11;369000;60;6150;;Pardubice;east Bohemia;162580;72.8;9538;111;5744.5;1.6600000000000001;;1974-06-30;F;False;8412.0;
118;5395;monthly issuance;95.0;21.0;0.0;0.0;0.0;57.0;52.0;5.0;38.0;8228.6;47679.97;1997-09-05;158184;36;4394;;Pardubice;east Bohemia;162580;72.8;9538;111;5744.5;1.6600000000000001;;1953-08-07;M;False;16100.0;
119;8038;monthly issuance;95.0;19.0;0.0;0.0;12.0;48.0;60.0;;35.0;7941.1;55660.66;1998-01-18;35856;24;1494;;Pardubice;east Bohemia;162580;72.8;9538;111;5744.5;1.6600000000000001;;1967-07-19;F;False;11141.0;
120;5305;monthly issuance;91.0;2.0;0.0;18.0;0.0;54.0;49.0;5.0;37.0;12941.09;41135.01;1998-03-31;240528;48;5011;;Pardubice;east Bohemia;162580;72.8;9538;111;5744.5;1.6600000000000001;;1956-06-29;M;False;15250.0;
121;9031;monthly issuance;16.0;7.0;0.0;0.0;0.0;2.0;2.0;;14.0;10238.56;46214.12;1997-05-03;50112;24;2088;;Pardubice;east Bohemia;162580;72.8;9538;111;5744.5;1.6600000000000001;;1948-01-29;M;False;17992.0;
122;1656;monthly issuance;128.0;6.0;0.0;21.0;16.0;65.0;79.0;2.0;47.0;8240.8;34760.23;1998-10-29;189792;48;3954;;Pardubice;east Bohemia;162580;72.8;9538;111;5744.5;1.6600000000000001;;1940-06-07;M;False;21328.0;
123;3637;monthly issuance;156.0;26.0;0.0;0.0;36.0;72.0;108.0;;48.0;4757.73;51802.02;1997-09-01;14028;12;1169;;Blansko;south Moravia;107911;50.9;8240;99;1876.5;3.045;;1945-12-27;F;False;18876.0;
124;3859;monthly issuance;68.0;16.0;0.0;0.0;0.0;40.0;34.0;6.0;28.0;12548.31;44484.08;1997-05-02;307200;60;5120;;Blansko;south Moravia;107911;50.9;8240;99;1876.5;3.045;;1962-02-26;M;False;12849.0;
125;2035;monthly issuance;171.0;2.0;0.0;20.0;64.0;66.0;127.0;3.0;41.0;7444.48;47164.92;1998-01-25;176328;36;4898;;Blansko;south Moravia;107911;50.9;8240;99;1876.5;3.045;;1943-06-14;M;True;19949.0;
126;1329;monthly issuance;63.0;2.0;0.0;11.0;14.0;25.0;38.0;1.0;24.0;4386.06;25967.5;1997-09-06;23520;12;1960;;Blansko;south Moravia;107911;50.9;8240;99;1876.5;3.045;;1941-11-11;M;True;20388.0;
127;1374;monthly issuance;62.0;1.0;0.0;12.0;0.0;38.0;32.0;6.0;24.0;19229.26;59749.88;1997-09-15;389136;48;8107;;Blansko;south Moravia;107911;50.9;8240;99;1876.5;3.045;;1967-09-07;M;False;10966.0;
128;8713;monthly issuance;91.0;7.0;0.0;14.0;0.0;44.0;40.0;4.0;47.0;6021.06;28620.4;1998-07-24;170700;60;2845;;Blansko;south Moravia;107911;50.9;8240;99;1876.5;3.045;;1971-08-04;M;False;9851.0;
129;2051;weekly issuance;90.0;25.0;0.0;0.0;0.0;51.0;43.0;8.0;39.0;11288.75;53227.14;1997-04-22;293880;60;4898;;Zlin;south Moravia;197099;74.7;9624;145;4374.5;1.955;;1975-01-28;F;False;8120.0;
130;3229;monthly issuance;136.0;30.0;0.0;0.0;30.0;59.0;87.0;2.0;47.0;10322.53;60289.95;1997-05-01;39024;12;3252;;Zlin;south Moravia;197099;74.7;9624;145;4374.5;1.955;;1936-12-23;M;False;22044.0;
131;4293;issuance after transaction;49.0;21.0;0.0;0.0;3.0;18.0;18.0;3.0;28.0;12583.21;49558.69;1997-05-22;164196;36;4561;;Zlin;south Moravia;197099;74.7;9624;145;4374.5;1.955;;1956-09-23;F;False;14851.0;
132;9159;monthly issuance;218.0;31.0;0.0;0.0;72.0;72.0;144.0;;74.0;3603.09;40349.88;1998-06-08;69600;48;1450;;Zlin;south Moravia;197099;74.7;9624;145;4374.5;1.955;;1969-04-14;M;True;10647.0;
133;10005;monthly issuance;39.0;1.0;0.0;8.0;4.0;19.0;22.0;1.0;16.0;15475.12;51175.19;1998-07-29;210744;36;5854;;Zlin;south Moravia;197099;74.7;9624;145;4374.5;1.955;;1978-11-29;M;False;7182.0;
134;11079;monthly issuance;113.0;6.0;0.0;18.0;0.0;72.0;64.0;8.0;41.0;16857.62;66405.07;1997-04-26;98304;12;8192;;Jindrichuv Hradec;south Bohemia;93931;56.9;8427;107;1893.5;1.33;;1970-07-26;M;False;9771.0;
135;7594;monthly issuance;191.0;33.0;0.0;0.0;66.0;73.0;133.0;6.0;52.0;8183.32;53546.71;1997-12-11;130464;48;2718;;Jindrichuv Hradec;south Bohemia;93931;56.9;8427;107;1893.5;1.33;;1974-03-22;M;False;8665.0;
136;10812;monthly issuance;85.0;24.0;0.0;0.0;0.0;49.0;44.0;5.0;36.0;11268.5;54575.4;1998-05-29;140688;48;2931;;Jindrichuv Hradec;south Bohemia;93931;56.9;8427;107;1893.5;1.33;;1941-06-23;M;True;20794.0;
137;3460;monthly issuance;85.0;24.0;0.0;0.0;0.0;49.0;44.0;5.0;36.0;11244.55;57514.35;1998-05-29;140688;48;2931;;Jindrichuv Hradec;south Bohemia;93931;56.9;8427;107;1893.5;1.33;;1941-06-23;M;True;20794.0;
138;10644;monthly issuance;75.0;1.0;0.0;12.0;8.0;43.0;44.0;7.0;24.0;14799.28;61366.87;1998-06-18;269964;36;7499;;Jindrichuv Hradec;south Bohemia;93931;56.9;8427;107;1893.5;1.33;junior;1979-02-14;F;False;7064.0;
139;2516;monthly issuance;102.0;24.0;0.0;0.0;0.0;60.0;60.0;;42.0;6543.77;36161.02;1997-06-13;466608;48;9721;;Kutna Hora;central Bohemia;77963;51.5;8546;126;2880.0;3.485;;1946-03-05;F;False;18728.0;
140;5072;monthly issuance;73.0;11.0;0.0;0.0;22.0;30.0;52.0;;21.0;6783.86;56757.31;1997-02-09;317520;60;5292;;Kutna Hora;central Bohemia;77963;51.5;8546;126;2880.0;3.485;;1968-02-16;F;False;10586.0;
141;6495;monthly issuance;124.0;26.0;0.0;0.0;17.0;61.0;78.0;;46.0;6717.3;41026.33;1998-04-28;104964;12;8747;;Kutna Hora;central Bohemia;77963;51.5;8546;126;2880.0;3.485;;1966-05-11;M;False;11675.0;
142;6083;weekly issuance;86.0;23.0;0.0;0.0;0.0;45.0;37.0;8.0;41.0;14112.97;52871.42;1997-09-28;360864;48;7518;;Kutna Hora;central Bohemia;77963;51.5;8546;126;2880.0;3.485;;1977-10-26;F;False;7277.0;
143;1888;monthly issuance;75.0;1.0;0.0;10.0;18.0;28.0;45.0;1.0;29.0;8336.57;36887.16;1997-08-30;57360;12;4780;;Kutna Hora;central Bohemia;77963;51.5;8546;126;2880.0;3.485;;1957-09-19;M;False;14590.0;
144;1638;weekly issuance;47.0;11.0;0.0;0.0;4.0;18.0;22.0;;25.0;8091.16;45735.84;1998-01-26;64224;24;2676;;Kutna Hora;central Bohemia;77963;51.5;8546;126;2880.0;3.485;;1937-12-13;M;True;21959.0;
145;993;monthly issuance;64.0;15.0;0.0;0.0;0.0;30.0;27.0;3.0;34.0;9952.2;50883.2;1998-07-01;108720;60;1812;;Kutna Hora;central Bohemia;77963;51.5;8546;126;2880.0;3.485;;1966-10-02;F;False;11595.0;
146;4116;monthly issuance;40.0;14.0;0.0;0.0;2.0;16.0;17.0;1.0;22.0;17701.16;66345.68;1998-06-03;151200;36;4200;;Kutna Hora;central Bohemia;77963;51.5;8546;126;2880.0;3.485;;1946-10-10;M;False;18864.0;
147;8169;monthly issuance;137.0;25.0;0.0;0.0;32.0;60.0;92.0;;45.0;3667.17;24067.3;1997-08-12;97980;60;1633;;Rokycany;west Bohemia;45714;55.6;8843;113;853.0;3.21;;1980-03-14;F;False;6360.0;
148;440;monthly issuance;85.0;19.0;0.0;0.0;10.0;42.0;52.0;;33.0;5942.57;25727.38;1998-03-13;84288;48;1756;;Rokycany;west Bohemia;45714;55.6;8843;113;853.0;3.21;;1957-09-27;F;False;14777.0;
149;9208;monthly issuance;121.0;4.0;0.0;17.0;0.0;52.0;42.0;10.0;69.0;6249.39;33221.21;1998-10-12;82128;24;3422;;Rokycany;west Bohemia;45714;55.6;8843;113;853.0;3.21;;1969-04-03;M;False;10784.0;
150;6097;monthly issuance;12.0;7.0;0.0;0.0;0.0;2.0;2.0;;10.0;4487.32;27419.85;1997-10-22;26208;36;728;;Rokycany;west Bohemia;45714;55.6;8843;113;853.0;3.21;;1973-04-12;F;False;8959.0;
151;5477;monthly issuance;145.0;39.0;1.0;0.0;16.0;67.0;82.0;2.0;61.0;12631.08;59951.08;1997-10-04;349392;48;7279;;Hodonin;south Moravia;161954;48.0;8720;116;3690.0;4.115;classic;1954-06-03;M;False;15829.0;
152;2754;weekly issuance;97.0;1.0;0.0;15.0;20.0;46.0;62.0;4.0;31.0;13584.96;43629.44;1997-05-04;335280;48;6985;;Hodonin;south Moravia;161954;48.0;8720;116;3690.0;4.115;;1952-12-26;F;False;16200.0;
153;9242;monthly issuance;58.0;15.0;0.0;0.0;0.0;25.0;25.0;;33.0;2701.5;36729.8;1997-01-24;23184;12;1932;;Hodonin;south Moravia;161954;48.0;8720;116;3690.0;4.115;;1979-07-26;F;False;6392.0;
154;7082;monthly issuance;133.0;25.0;0.0;0.0;50.0;42.0;92.0;;41.0;3355.96;28548.37;1998-02-08;194160;48;4045;;Hodonin;south Moravia;161954;48.0;8720;116;3690.0;4.115;;1945-05-10;F;False;19267.0;
155;4033;monthly issuance;12.0;6.0;0.0;0.0;0.0;3.0;3.0;;9.0;6498.46;29824.12;1997-03-20;84288;48;1756;;Hodonin;south Moravia;161954;48.0;8720;116;3690.0;4.115;;1977-11-01;F;False;7079.0;
156;3273;monthly issuance;134.0;2.0;0.0;21.0;0.0;71.0;64.0;7.0;63.0;16710.56;48061.86;1997-09-21;94512;12;7876;;Ostrava - mesto;north Moravia;323870;100.0;10673;100;18564.5;5.095000000000001;;1952-11-28;M;False;16368.0;
157;4342;monthly issuance;139.0;32.0;0.0;0.0;17.0;71.0;84.0;4.0;51.0;9714.09;56496.39;1997-12-09;100128;24;4172;;Ostrava - mesto;north Moravia;323870;100.0;10673;100;18564.5;5.095000000000001;;1948-04-06;F;False;18144.0;
158;97;monthly issuance;118.0;18.0;0.0;0.0;43.0;42.0;85.0;;33.0;4844.03;33057.37;1997-08-10;102876;12;8573;;Ostrava - mesto;north Moravia;323870;100.0;10673;100;18564.5;5.095000000000001;;1942-01-28;M;True;20283.0;
159;3353;monthly issuance;22.0;7.0;0.0;0.0;1.0;9.0;10.0;;12.0;11676.27;44355.04;1997-02-09;146064;24;6086;;Ostrava - mesto;north Moravia;323870;100.0;10673;100;18564.5;5.095000000000001;;1953-06-01;F;False;15959.0;
160;9241;monthly issuance;54.0;1.0;0.0;9.0;4.0;24.0;25.0;3.0;26.0;9580.14;49699.66;1997-06-19;285240;60;4754;;Ostrava - mesto;north Moravia;323870;100.0;10673;100;18564.5;5.095000000000001;;1952-05-28;M;True;16458.0;
161;3249;monthly issuance;51.0;12.0;0.0;0.0;6.0;24.0;30.0;;21.0;8767.47;28809.0;1997-08-27;68124;12;5677;;Ostrava - mesto;north Moravia;323870;100.0;10673;100;18564.5;5.095000000000001;;1957-11-01;M;False;14544.0;
162;1242;issuance after transaction;60.0;11.0;0.0;0.0;20.0;19.0;39.0;;21.0;7808.7;40526.45;1997-09-07;128544;24;5356;;Ostrava - mesto;north Moravia;323870;100.0;10673;100;18564.5;5.095000000000001;;1951-11-29;F;False;16719.0;
163;6510;monthly issuance;35.0;13.0;0.0;0.0;0.0;17.0;15.0;2.0;18.0;14823.31;61992.3;1997-05-06;76992;24;3208;;Ostrava - mesto;north Moravia;323870;100.0;10673;100;18564.5;5.095000000000001;;1965-10-17;M;False;11524.0;
164;2080;monthly issuance;17.0;1.0;0.0;5.0;0.0;7.0;7.0;;10.0;26971.42;62852.92;1997-09-12;214596;36;5961;;Ostrava - mesto;north Moravia;323870;100.0;10673;100;18564.5;5.095000000000001;;1937-09-08;M;True;21919.0;
165;8931;weekly issuance;119.0;31.0;0.0;0.0;18.0;47.0;61.0;4.0;54.0;12880.92;62765.87;1997-01-30;186300;60;3105;;Vyskov;south Moravia;86513;50.5;8288;110;1511.0;4.154999999999999;;1947-11-16;M;False;17973.0;
166;2986;monthly issuance;135.0;21.0;0.0;0.0;31.0;64.0;95.0;;40.0;7184.29;47061.86;1997-12-06;24792;24;1033;;Vyskov;south Moravia;86513;50.5;8288;110;1511.0;4.154999999999999;;1958-06-06;M;False;14428.0;
167;4660;monthly issuance;18.0;1.0;0.0;5.0;2.0;6.0;7.0;1.0;10.0;14678.87;57324.07;1997-05-28;106944;24;4456;;Vyskov;south Moravia;86513;50.5;8288;110;1511.0;4.154999999999999;;1953-03-22;F;False;16138.0;
168;3403;monthly issuance;79.0;19.0;0.0;0.0;0.0;48.0;40.0;8.0;31.0;10139.36;54293.59;1998-06-27;71820;36;1995;;Vyskov;south Moravia;86513;50.5;8288;110;1511.0;4.154999999999999;;1964-02-09;M;False;12557.0;
169;9225;monthly issuance;98.0;18.0;0.0;0.0;0.0;51.0;45.0;6.0;47.0;8080.24;42341.64;1997-04-13;164256;48;3422;;Praha - zapad;central Bohemia;75637;36.5;9622;154;3502.0;0.52;;1972-08-20;M;True;9002.0;
170;9631;monthly issuance;93.0;8.0;0.0;17.0;0.0;52.0;45.0;7.0;41.0;5879.7;29114.62;1997-11-09;59448;24;2477;;Praha - zapad;central Bohemia;75637;36.5;9622;154;3502.0;0.52;;1957-12-01;M;False;14588.0;
171;7274;monthly issuance;22.0;6.0;0.0;0.0;2.0;9.0;11.0;;11.0;16456.87;49296.52;1998-03-12;49044;12;4087;;Praha - zapad;central Bohemia;75637;36.5;9622;154;3502.0;0.52;;1953-04-11;F;False;16406.0;
172;6678;monthly issuance;129.0;36.0;0.0;0.0;0.0;75.0;63.0;12.0;54.0;14502.6;61692.08;1997-07-09;294384;48;6133;;Brno - mesto;south Moravia;387570;100.0;9897;140;18708.5;1.78;;1966-11-29;F;False;11180.0;
173;1093;monthly issuance;102.0;1.0;0.0;17.0;13.0;55.0;59.0;9.0;34.0;17023.97;47433.42;1997-06-13;385104;48;8023;;Brno - mesto;south Moravia;387570;100.0;9897;140;18708.5;1.78;;1956-12-18;F;False;14787.0;
